,title,date,url
115,"SW중심대학사업단 2022년 제 3차 SW융합전공 재학생 간담회 개최(9/21, 신청일: 9/5~9/16)",22.09.02,https://sw7up.cbnu.ac.kr/community/notice/6311527df952f940ce67a779
116,2022년 산학협력공동프로젝트 연구보조원 추가 모집 공고,22.09.07,https://sw7up.cbnu.ac.kr/community/notice/6317e0ebf952f940ce683b5e
117,2022년 현장실습(인턴십) 체험수기 공모전 (접수기한연장: 9/7 ~ 9/23),22.09.07,https://sw7up.cbnu.ac.kr/community/notice/63184df7f952f940ce685214
118,2022년 오픈소스SW 운영보조원 추가 모집 공고 (~9/15),22.09.13,https://sw7up.cbnu.ac.kr/community/notice/632032f4e96ff51710ed5202
119,2022년 산학협력공동프로젝트 연구보조원 추가 모집,22.09.15,https://sw7up.cbnu.ac.kr/community/notice/6322ac575d1f557c4c795288
120,(홍보)SW중심대학 V-log 영상 공모전 '소중人의 탐구생활' (접수기간 : 9/5(월)~10/7(금)까지),22.09.21,https://sw7up.cbnu.ac.kr/community/notice/632a560c5d1f557c4c7a1c42
121,LG CNS 하반기 신입사원 채용(9.5~9.26),22.09.22,https://sw7up.cbnu.ac.kr/community/notice/632ba7f95d1f557c4c7a4d6e
122,2022 공개SW Week 특강 프로그램 신청 안내(~10/13),22.09.22,https://sw7up.cbnu.ac.kr/community/notice/632c0ef65d1f557c4c7a61c4
123,★2022학년도 2학기 SW융합전공 장학생 모집 안내(신청일: 9/26~10/7),22.09.23,https://sw7up.cbnu.ac.kr/community/notice/632d3e505d1f557c4c7a86f0
124,SW전공트랙 이수 신청 안내(~10/31),22.09.28,https://sw7up.cbnu.ac.kr/community/notice/6334029f5d1f557c4c7b443a
125,2022년 2학기 가디언 프로그램 안내,22.09.29,https://sw7up.cbnu.ac.kr/community/notice/6334ea195d1f557c4c7b5a04
126,코드이력관리시스템  집중등록 기간(~10/21),22.09.30,https://sw7up.cbnu.ac.kr/community/notice/63364b5b5d1f557c4c7b85dc
127,(홍보) 2022 국방 AI 경진대회 (신청기간(일반인) : 9/30(금)~11/2(수) / 온라인 신청),22.10.04,https://sw7up.cbnu.ac.kr/community/notice/633b757c5d1f557c4c7be931
128,2022년 오픈소스SW 라이선스 교육 프로그램 참가 신청 안내(~10/27),22.10.05,https://sw7up.cbnu.ac.kr/community/notice/633ce6915d1f557c4c7c405e
129,(홍보) 2022 SW인재페스티벌 행사(2022.12.08~12.09),22.10.06,https://sw7up.cbnu.ac.kr/community/notice/633e8b9e5d1f557c4c7ca986
130,2022 SW인재페스티벌 참가 우수 작품 공모전 모집 공고(10/4 ~ 10/17),22.10.06,https://sw7up.cbnu.ac.kr/community/notice/633e8c765d1f557c4c7caaf2
131,2022년 SW융합전공 체험수기 공모전 수상자 안내,22.10.07,https://sw7up.cbnu.ac.kr/community/notice/633fa7cf5d1f557c4c7cd90f
132,2022년 현장실습(인턴십) 수기 공모전 수상자 안내,22.10.14,https://sw7up.cbnu.ac.kr/community/notice/6348fe5e5d1f557c4c7e0503
133,2022년 2차 Solve-UpⓇ 프로그래밍 경진대회 참가 신청 안내(~11/23),22.10.24,https://sw7up.cbnu.ac.kr/community/notice/6355f03cfdde24339b23e49c
134,2022년 제 18회 하반기 TOPCIT 정기평가 안내,22.10.25,https://sw7up.cbnu.ac.kr/community/notice/63575ee8fdde24339b240ee8
135,코딩이력관리시스템 매뉴얼 다운로드,22.10.26,https://sw7up.cbnu.ac.kr/community/notice/6358779bfdde24339b243fbc
136,2022학년도 2학기 SW융합전공 장학생 선발 결과 안내,22.10.27,https://sw7up.cbnu.ac.kr/community/notice/6359c950fdde24339b249663
137,2022년 SW중심대학사업단 글로벌캡스톤디자인(CEDC 2022) 참가 신청 안내(~11/18),22.11.07,https://sw7up.cbnu.ac.kr/community/notice/636854f6fdde24339b27af5f
138,2022-1기 일경험수련과정 참여신청서 제출안내,22.11.08,https://sw7up.cbnu.ac.kr/community/notice/636a0f229c91db445439e7d9
139,2022학년도 2학기 산학활동참여 마일리지 장학금 신청,22.11.10,https://sw7up.cbnu.ac.kr/community/notice/636c84179c91db44543a6386
140,"(홍보) KOSA, 미래 유망 산업 공동 직무설명회 (11/16(수),14시~,온라인)",22.11.11,https://sw7up.cbnu.ac.kr/community/notice/636dac839c91db44543a9851
141,2022학년도 2학기 마일리지 장학금 제출 안내(필독★),22.11.11,https://sw7up.cbnu.ac.kr/community/notice/636dd0329c91db44543aa32e
142,2022년 SW중심대학사업단 Git-Github 기초/심화 특강 신청 안내(~11/24),22.11.11,https://sw7up.cbnu.ac.kr/community/notice/636df9e59c91db44543ab74f
143,2022학년도 2학기 산학활동참여 마일리지 장학생 선발 결과 안내,22.11.21,https://sw7up.cbnu.ac.kr/community/notice/637b06ffa6d9287b31386b2d
144,2022년 SW중심대학사업단 글로벌캡스톤디자인(CEDC 2022) 합격자 안내,22.11.28,https://sw7up.cbnu.ac.kr/community/notice/63844f5e07584879a1f78579
145,예비대학생을 위한 2023학년도 입학 전 SW기초교육 '컴퓨팅 사고력 기르기' 신청 안내,22.12.08,https://sw7up.cbnu.ac.kr/community/notice/6391660707584879a1f92e30
146,2023년 OSS운영보조원 모집 안내(~12/20),22.12.08,https://sw7up.cbnu.ac.kr/community/notice/6391a06507584879a1f93e37
147,2022년 클라우드 특강 신청 안내(~12/15),22.12.08,https://sw7up.cbnu.ac.kr/community/notice/6391a1b207584879a1f93e4d
